Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S11P08";12/11/2019 14:12:45;57,9;37,3;1,4;3,4;">>>>";1001;0;8;"LOW";-113,9;">>>>";0;0;0;-123,4;">>>>";0;0;0;"POZO ABIERTO";;1,55;0,0;;
"M2S11P12";12/11/2019 14:13:34;35,1;22,3;6,4;36,2;">>>>";1001;0;7;"LOW";-107,4;">>>>";0;0;0;-129,1;">>>>";0;0;0;"POZO CERRADO";;1,57;12,01;;
"M2S11P09";12/11/2019 14:14:36;60,1;38,6;1;0,3;">>>>";1001;0;7;"LOW";-102,8;">>>>";0;0;0;-114,2;">>>>";0;0;0;"POZO ABIERTO";;1,56;0,0;;
"M2S11P13";12/11/2019 14:15:39;44,3;28,8;4,7;22,2;">>>>";1001;0;10;"LOW";-77;">>>>";0;0;0;-100,6;">>>>";0;0;0;"POZO ABIERTO";;1,54;4,43;;
"M2S11P14";12/11/2019 14:17:36;22,3;10,2;11,5;56;">>>>";1002;0;8;"LOW";-25,5;26,014;0;0;0;-27,7;28,144;0;0;0;"POZO ABIERTO";;2,19;12,53;;
"M2S11P10";12/11/2019 14:19:07;20,9;12;10,7;56,4;">>>>";1001;0;5;"LOW";-113;">>>>";0;0;0;-114,1;">>>>";0;0;0;"POZO CERRADO";;1,74;15,95;;
"M2S11P20";12/11/2019 14:20:36;58,9;40,8;0,1;0,2;">>>>";1001;0;14;"LOW";-110;">>>>";0;0;0;-129,3;">>>>";0;0;0;"POZO ABIERTO";;1,44;0,0;;
"M2S11P16";12/11/2019 14:21:25;58,7;37,4;1,1;2,8;">>>>";1001;0;14;"LOW";-35,2;">>>>";0;0;0;-48,3;">>>>";0;0;0;"POZO ABIERTO";;1,57;0,0;;
"M2S11P15";12/11/2019 14:22:08;61,4;38,2;0,2;0,2;">>>>";1001;0;6;"LOW";-118,3;">>>>";0;0;0;-128,4;">>>>";0;0;0;"POZO ABIERTO";;1,61;0,0;;
"M2S11P21";12/11/2019 14:24:53;28,1;18,5;8;45,4;">>>>";1001;0;2;"LOW";-92,9;">>>>";0;0;0;-95,4;">>>>";0;0;0;"POZO CERRADO";;1,52;15,16;;
