
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M1H01K01";16/4/2020 08:59:02;52,3;38,1;1,8;7,8;">>>>";1025;;;;"N/A_";;42;;;;;-47,53;">>>>";0;;"N/A";-47,76;">>>>";0;;"N/A";;;1,37;1,0;;;;N/A;
"M1H02K01";16/4/2020 09:04:23;53,7;38,6;1,7;6;">>>>";1024;;;;"N/A_";;37;;;;;-43,01;">>>>";0;;"N/A";-43,08;">>>>";0;;"N/A";;;1,39;0,0;;;;N/A;
"M1H03K01";16/4/2020 09:35:44;53,4;38,4;1,8;6,4;">>>>";1023;;;;"N/A_";;28;;;;;-38,81;">>>>";0;;"N/A";-38,81;">>>>";0;;"N/A";;;1,39;0,0;;;;N/A;
"M2S16K01";16/4/2020 09:53:12;52,8;38,7;1,6;6,9;">>>>";1021;;;;"N/A_";;129;;;;;-140,58;">>>>";0;;"N/A";-138,22;">>>>";0;;"N/A";;;1,36;0,85;;;;N/A;
"M2S15K01";16/4/2020 10:12:14;50,4;36,8;2,5;10,3;">>>>";1022;;;;"N/A_";;55;;;;;-147,45;">>>>";0;;"N/A";-147,89;">>>>";0;;"N/A";;;1,37;0,85;;;;N/A;
"M2S15P18";16/4/2020 10:15:57;31,3;22,6;9;37,1;">>>>";1022;;;;"N/A_";;127;;;;;-0,35;2,82;0;0;0;-1,97;0,656;0;0;0;"20%";;1,38;3,08;;;;N/A;
"M2S15P21";16/4/2020 10:18:35;54,8;38,5;1,7;5;">>>>";1022;;;;"N/A_";;269;;;;;-0,71;1,347;0;0;0;-0,66;1,157;0;0;0;"20%";;1,42;0,0;;;;N/A;
"M2S15P02";16/4/2020 10:20:52;47,7;36,6;2,8;12,9;">>>>";1022;;;;"N/A_";;106;;;;;-3,36;3,716;0;0;0;-3,67;4,019;0;0;0;"20%";;1,3;2,32;;;;N/A;
"M2S15P07";16/4/2020 10:23:26;50,4;36,9;1,7;11;">>>>";1022;;;;"N/A_";;120;;;;;-49,51;">>>>";0;0;0;-93,91;">>>>";0;0;0;"30%";;1,37;4,57;;;;N/A;
"M2S15P12";16/4/2020 10:24:54;59,7;44,1;0,1;0;">>>>";1022;;;;"N/A_";;242;;;;;-142,67;">>>>";0;0;0;-143,61;">>>>";0;0;0;"100%";;1,35;0,0;;;;N/A;
"M2S15P17";16/4/2020 10:26:31;56,4;40;1,1;2,5;">>>>";1022;;;;"N/A_";;232;;;;;-68,32;">>>>";0;0;0;-68,1;">>>>";0;0;0;"50%";;1,41;0,0;;;;N/A;
"M2S15P11";16/4/2020 10:28:11;51,6;38,7;1,6;8,1;">>>>";1022;;;;"N/A_";;67;;;;;-125,21;">>>>";0;0;0;-127,33;">>>>";0;0;0;"50%";;1,33;2,05;;;;N/A;
"M2S15P06";16/4/2020 10:30:06;48,9;38;1,7;11,4;">>>>";1022;;;;"N/A_";;183;;;;;-1,54;1,443;0;0;0;-7,89;8,341;0;0;0;"20%";;1,29;4,97;;;;N/A;
"M2S15P22";16/4/2020 10:32:03;59,9;42;0,3;0;">>>>";1022;;;;"N/A_";;128;;;;;-140,4;">>>>";0;0;0;-131,92;">>>>";0;0;0;"100%";;1,43;0,0;;;;N/A;
"M2S15P05";16/4/2020 10:34:14;61,4;43,7;0;0;">>>>";1022;;;;"N/A_";;201;;;;;-39,34;">>>>";0;0;0;-14,32;14,337;0;0;0;"30%";;1,41;0,0;;;;N/A;
"M2S15P10";16/4/2020 10:36:44;61;41,4;0,1;0;">>>>";1023;;;;"N/A_";;213;;;;;-0,57;7,335;0;0;0;1,18;-0,689;0;0;0;"20%";;1,47;0,0;;;;N/A;
"M2S15P24";16/4/2020 10:38:56;54,6;39,2;0,5;5,7;">>>>";1023;;;;"N/A_";;33;;;;;-0,66;2,99;0;0;0;7,19;-6,17;0;0;0;"20%";;1,39;3,81;;;;N/A;
"M2S15P16";16/4/2020 10:41:36;61,8;41,8;0;0;">>>>";1023;;;;"N/A_";;275;;;;;-14,08;14,414;0;0;0;-2,85;3,195;0;0;0;"30%";;1,48;0,0;;;;N/A;
"M2S15P23";16/4/2020 10:44:10;35,4;24,9;7,4;32,3;">>>>";1022;;;;"N/A_";;35;;;;;-2,44;1,246;0;0;0;-58,8;">>>>";0;0;0;"20%";;1,42;4,33;;;;N/A;
"M2S15P26";16/4/2020 10:46:40;46,3;32,7;3,7;17,3;">>>>";1022;;;;"N/A_";;113;;;;;-4,77;3,628;0;0;0;-81,06;">>>>";0;0;0;"20%";;1,42;3,31;;;;N/A;
"M2S15P09";16/4/2020 10:49:06;58,5;46,3;0,1;0;">>>>";1023;;;;"N/A_";;400;;;;;-27,17;">>>>";0;0;0;-14,08;13,139;0;0;0;"30%";;1,26;0,0;;;;N/A;
"M2S15P20";16/4/2020 10:52:25;50,3;35,4;2,6;11,7;">>>>";1023;;;;"N/A_";;37;;;;;-19,71;18,576;0;0;0;-38,18;">>>>";0;0;0;"20%";;1,42;1,87;;;;N/A;
"M2S15P15";16/4/2020 10:54:45;46,1;35,7;2,8;15,4;">>>>";1023;;;;"N/A_";;32;;;;;-23,08;21,416;0;0;0;-58,17;">>>>";0;0;0;"30%";;1,29;4,82;;;;N/A;
"M2S15P19";16/4/2020 10:56:36;56,5;41,2;0,9;1,4;">>>>";1022;;;;"N/A_";;78;;;;;-148,2;">>>>";0;0;0;-148,17;">>>>";0;0;0;"100%";;1,37;0,0;;;;N/A;
"M2S15P14";16/4/2020 10:58:53;51,8;39,8;1,9;6,5;">>>>";1022;;;;"N/A_";;24;;;;;-74,84;">>>>";0;0;0;-123,67;">>>>";0;0;0;"30%";;1,3;0,0;;;;N/A;
"M2S15P13";16/4/2020 11:01:03;57,4;44,2;0,3;0;">>>>";1022;;;;"N/A_";;158;;;;;-151,57;">>>>";0;0;0;-147,88;">>>>";0;0;0;"100%";;1,3;0,0;;;;N/A;
"M2S15P08";16/4/2020 11:02:37;57,1;43;0,5;0;">>>>";1022;;;;"N/A_";;96;;;;;-146,64;">>>>";0;0;0;-149,9;">>>>";0;0;0;"100%";;1,33;0,0;;;;N/A;
"M2S15P04";16/4/2020 11:04:11;50,4;39,4;1,5;8,7;">>>>";1023;;;;"N/A_";;31;;;;;-1,36;2,081;0;0;0;-1,32;2,087;0;0;0;"30%";;1,28;3,03;;;;N/A;
"M2S15K01";16/4/2020 11:07:54;50,5;38,5;1,5;9,5;">>>>";1022;;;;"N/A_";;36;;;;;-148,55;">>>>";0;;"N/A";-151,7;">>>>";0;;"N/A";;;1,31;3,83;;;;N/A;
